"Format","AiM CSV File"
"Session",""
"Vehicle",""
"Racer","Faran"
"Championship",""
"Comment","First oil pick test run went very well, no track"
"Date","Wednesday, August 19, 2026"
"Time","3:42 PM"
"Sample Rate","20"
"Duration","99"
"Segment","Session"
"Beacon Markers","99"
"Segment Times","1:39.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","External Voltage","Steering Angle","RR Shock Pos","FR Shock Pos","FL Shock Pos","RL Shock Pos","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","Brake Bias","ECU RPM","EX TEMP 2","EX TEMP 1","ECU WH SP FL","ECU WH SP RL","ECU WH SP RR","ECU WH SP FR","ECU ECT","ECU EXH T","ECU IAT","ECU FUEL T","ECU OIL P","BRK PRESS F","BRK PRESS R","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA","LAUNCH STATE"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","deg","mm","mm","mm","mm","gear","g","g","g","deg/s","deg/s","deg/s","%","%","rpm","°C","°C","km/h","km/h","km/h","km/h","°C","°C","°C","°C","bar","bar","bar","bar","bar","%","V","lambda","#"

"0.000","0.1298","14","0.0000","0.0000","-14.5097","123.6105","0.0000","34.4336","17.5000","0.1300","10000.0000","45.39216869","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.3","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.117","1.029","0.20","12.3","2.55","0"
"0.050","0.1298","14","0.0000","0.0000","-14.5097","123.6105","0.0000","34.4336","17.5000","0.1300","10000.0000","45.39216869","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.3","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.117","1.029","0.20","12.3","2.55","0"
"0.100","0.1298","14","0.0000","0.0000","-14.5097","123.6105","0.0000","34.4336","17.5000","0.1300","10000.0000","45.39216869","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.3","0.0","-0.6","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.117","1.029","0.20","12.3","2.55","0"
"0.150","0.1298","14","0.0000","0.0000","-14.5097","123.6105","0.0000","34.4336","17.5000","0.1300","10000.0000","45.39216869","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.3","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.117","1.029","0.20","12.3","2.55","0"
"0.200","0.1298","14","0.0000","0.0000","-14.5097","123.6105","0.0000","34.4336","17.5000","0.1300","10000.0000","45.39216869","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.3","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.117","1.029","0.20","12.3","2.55","0"
"0.250","0.1298","14","0.0000","0.0000","-14.5097","123.6105","0.0000","34.4336","17.5000","0.1300","10000.0000","45.39216869","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.3","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.117","1.029","0.20","12.3","2.55","0"
"0.300","0.1298","14","0.0000","0.0000","-14.5097","123.6105","0.0000","34.4336","17.5000","0.1300","10000.0000","45.39216869","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.3","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.117","1.029","0.20","12.3","2.55","0"
"0.350","0.1298","14","0.0000","0.0000","-14.5097","123.6105","0.0000","34.4336","17.5000","0.1300","10000.0000","45.39216869","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.00","0.01","-1.00","-0.3","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.117","1.029","0.20","12.3","2.55","0"
"0.400","0.1190","14","0.0000","0.0000","-13.6478","101.2244","0.0000","34.4319","17.4480","0.1378","10000.0000","45.39216870","-75.69718959","40.5","12.6","-98.5","40","30","48","1","0","-0.00","0.00","-1.00","-0.3","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.119","1.029","0.20","12.3","2.55","0"
"0.450","0.0982","14","0.0000","0.0000","-11.9904","58.1741","0.0000","34.4285","17.3480","0.1528","10000.0000","45.39216873","-75.69718958","40.5","12.6","-98.5","40","30","48","1","0","-0.00","0.01","-1.00","-0.3","0.0","-0.7","52.44","-59.65","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.4","0.121","1.029","0.20","12.3","2.55","0"
"0.500","0.0840","14","0.0000","0.0000","-10.8819","7.0323","0.0000","34.4264","17.2480","0.1522","10000.0000","45.39216875","-75.69718960","40.5","12.6","-98.5","40","30","48","1","0","-0.00","0.01","-0.99","-0.2","0.0","-0.7","52.44","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.4","0.121","1.029","0.20","12.2","2.55","0"
"0.550","0.0759","14","0.0000","0.0000","-10.2801","-51.5788","0.0000","34.4255","17.1480","0.1372","10000.0000","45.39216876","-75.69718966","40.5","12.6","-98.5","40","30","48","1","0","-0.00","0.01","-0.99","-0.3","0.1","-0.7","52.44","-60.01","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.4","0.119","1.030","0.20","12.2","2.55","0"
"0.600","0.0870","14","0.0000","0.0000","-10.8984","-39.2437","0.0000","34.4220","17.0740","0.1326","10000.0000","45.39216879","-75.69718964","40.5","12.6","-98.5","40","30","48","1","0","-0.00","0.01","-0.99","-0.3","0.1","-0.7","52.44","-60.11","0","6553.5","42.7","0","0","0","0","50.0","42.7","37.4","30.0","0.04","-4.3","11.4","0.121","1.030","0.20","12.2","2.55","0"
"0.650","0.1159","14","0.0000","0.0000","-12.6428","38.5802","0.0000","34.4161","17.0240","0.1376","10000.0000","45.39216885","-75.69718955","40.5","12.6","-98.5","40","30","48","1","0","-0.00","0.01","-0.99","-0.3","0.1","-0.7","52.44","-59.98","0","6553.5","42.7","0","0","0","0","50.0","42.7","37.4","30.0","0.04","-4.3","11.4","0.122","1.030","0.20","12.2","2.55","0"
"0.700","0.1473","14","0.0000","0.0000","-10.3129","41.3447","0.0000","34.4110","16.9480","0.1374","10000.0000","45.39216889","-75.69718953","40.5","12.6","-98.5","40","30","48","1","0","-0.00","0.01","-0.99","-0.3","0.1","-0.7","52.44","-59.86","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.4","0.122","1.030","0.20","12.1","2.55","0"
"0.750","0.1810","14","0.0000","0.0000","-4.2222","-25.1764","0.0000","34.4067","16.8480","0.1324","10000.0000","45.39216893","-75.69718958","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.00","-0.99","-0.2","0.1","-0.7","52.44","-59.86","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.4","0.122","1.030","0.20","12.2","2.55","0"
"0.800","0.1592","14","0.0000","0.0000","-6.7794","-7.8910","0.0000","34.4029","16.7480","0.1300","10000.0000","45.39216897","-75.69718959","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.2","0.1","-0.7","52.44","-59.86","0","6553.5","42.7","0","0","0","0","50.0","42.7","37.4","30.0","0.04","-4.3","11.4","0.124","1.031","0.20","12.3","2.55","0"
"0.850","0.0860","14","0.0000","0.0000","-17.3193","86.7543","0.0000","34.3995","16.6480","0.1300","10000.0000","45.39216900","-75.69718957","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.2","0.1","-0.7","52.57","-59.81","0","6553.5","42.7","0","0","0","0","50.0","42.7","37.4","30.0","0.04","-4.3","11.5","0.125","1.031","0.20","12.2","2.55","0"
"0.900","0.0509","14","0.0000","0.0000","-22.3785","132.1840","0.0000","34.3983","16.5740","0.1326","10000.0000","45.39216901","-75.69718953","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.2","0.1","-0.7","52.91","-59.78","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.127","1.030","0.20","12.1","2.55","0"
"0.950","0.0509","14","0.0000","0.0000","-22.3785","132.1840","0.0000","34.3992","16.5240","0.1376","10000.0000","45.39216900","-75.69718947","40.5","12.6","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.2","-0.0","-0.6","53.24","-59.73","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.187","1.030","0.20","12.1","2.55","0"
"1.000","0.0509","14","0.0000","0.0000","-16.8912","53.6327","0.0000","34.3978","16.4480","0.1426","10000.0000","45.39216901","-75.69718943","40.5","12.5","-98.5","40","30","48","1","0","-0.00","0.01","-0.99","-0.2","-0.0","-0.6","53.58","-59.64","0","6553.5","42.6","0","0","0","0","50.0","42.6","37.4","30.0","0.04","-4.3","11.5","0.266","1.030","0.20","12.2","2.55","0"
"1.050","0.0509","14","0.0000","0.0000","-6.3388","-97.4276","0.0000","34.3944","16.3480","0.1476","10000.0000","45.39216904","-75.69718942","40.5","12.5","-98.5","40","30","48","1","0","-0.01","0.01","-0.99","-0.3","-0.0","-0.6","53.92","-59.56","113","6553.5","42.5","0","0","0","0","50.0","42.5","37.4","30.0","0.04","-4.3","11.5","0.587","1.030","0.20","11.5","2.55","0"
"1.100","0.0377","14","0.0000","0.0000","-0.9425","-125.7530","0.0000","34.3928","16.2740","0.1474","10000.0000","45.39216906","-75.69718941","40.5","12.5","-98.5","40","30","48","1","0","0.00","0.01","-0.99","-0.3","-0.0","-0.6","54.26","-59.53","217","6553.5","42.4","0","0","0","0","50.0","42.4","37.4","30.0","0.04","-4.3","11.5","1.047","1.029","0.20","10.7","2.55","0"
"1.150","0.0122","14","0.0000","0.0000","-0.3057","-40.7848","0.0000","34.3928","16.2240","0.1424","10000.0000","45.39216906","-75.69718941","40.5","12.5","-98.5","40","30","48","1","0","0.00","0.01","-0.99","-0.3","-0.0","-0.6","54.60","-59.23","257","6553.5","42.4","0","0","0","0","50.0","42.4","37.4","30.0","0.06","-4.3","11.5","2.179","1.023","0.20","10.6","2.55","0"
"1.200","0.0310","14","0.0000","0.0000","-2.4906","-27.3850","0.0000","34.3924","17.0580","0.1400","10000.0000","45.39216906","-75.69718944","40.5","12.5","-98.5","40","30","48","1","0","0.00","0.01","-0.99","-0.3","-0.0","-0.7","54.94","-58.95","286","6553.5","42.3","0","0","0","0","50.0","42.3","37.4","30.0","0.07","-4.3","11.6","2.995","1.019","0.20","10.6","2.55","0"
"1.250","0.0907","14","0.0000","0.0000","-7.2803","-80.0486","0.0000","34.3915","18.7080","0.1400","10000.0000","45.39216907","-75.69718951","40.5","12.5","-98.5","40","30","48","1","0","0.01","0.01","-1.00","-0.3","-0.0","-0.7","55.28","-58.80","299","6553.5","42.3","0","0","0","0","50.0","42.3","37.4","30.0","0.09","-4.3","11.6","3.251","1.017","0.20","10.7","2.55","0"
