"Format","AiM CSV File"
"Session",""
"Vehicle","GGR26"
"Racer","Faran"
"Championship","Carleton Testing P7 260705"
"Comment","Faran testing new engine with baffle, leaking oil checking for oil pressure. Keep in mind we now have an oil pressure cutoff which affected the run,"
"Date","Sunday, July 5, 2026"
"Time","10:19 AM"
"Sample Rate","20"
"Duration","122"
"Segment","Session"
"Beacon Markers","122"
"Segment Times","2:02.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","External Voltage","Steering Angle","RR Shock Pos","FR Shock Pos","FL Shock Pos","RL Shock Pos","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","Brake Bias","ECU RPM","EX TEMP 2","EX TEMP 1","ECU WH SP FL","ECU WH SP RL","ECU WH SP RR","ECU WH SP FR","ECU ECT","ECU EXH T","ECU IAT","ECU FUEL T","ECU OIL P","BRK PRESS F","BRK PRESS R","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA","LAUNCH STATE"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","deg","mm","mm","mm","mm","gear","g","g","g","deg/s","deg/s","deg/s","%","%","rpm","°C","°C","km/h","km/h","km/h","km/h","°C","°C","°C","°C","bar","bar","bar","bar","bar","%","V","lambda","#"

"0.000","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.3","0.1","-0.5","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.050","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.3","0.1","-0.4","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.100","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.3","0.1","-0.4","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.150","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.4","0.0","-0.5","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.200","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.4","0.0","-0.5","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.250","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.4","0.0","-0.5","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.300","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.3","0.0","-0.4","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.350","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.1","-0.4","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.400","0.1080","12","0.0000","0.0000","-35.1203","82.3742","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.01","-1.00","-0.3","0.1","-0.4","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.450","0.1025","12","0.0000","0.0000","-39.8528","94.6502","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.3","79","1","79","1","0","-0.02","0.01","-1.00","-0.3","0.1","-0.4","51.44","100.00","0","6553.5","74.2","0","0","0","0","26.0","74.2","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.500","0.0925","12","0.0000","0.0000","-48.3039","116.5717","0.0000","32.9797","14.1000","0.1400","10000.0000","45.39078911","-75.69572976","35.6","12.4","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.3","0.1","-0.4","51.44","100.00","0","6553.5","74.1","0","0","0","0","26.0","74.1","31.2","30.0","0.12","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.550","0.0860","12","0.0000","0.0000","-50.2213","51.1897","0.0000","32.9777","14.1280","0.1456","10000.0000","45.39078909","-75.69572976","35.6","12.4","873.2","79","1","79","1","0","-0.02","0.02","-1.00","-0.3","0.1","-0.4","51.44","100.00","0","6553.5","74.0","0","0","0","0","26.0","74.0","31.2","30.0","0.12","-0.1","0.0","3.348","1.036","0.00","12.0","2.55","0"
"0.600","0.0822","12","0.0000","0.0000","-47.0051","-82.7879","0.0000","32.9741","14.1780","0.1556","10000.0000","45.39078906","-75.69572976","35.6","12.4","873.9","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.1","-0.4","51.41","146.40","0","6553.5","74.0","0","0","0","0","26.0","74.0","31.2","30.0","0.11","-0.1","0.0","3.350","1.036","0.00","12.0","2.55","0"
"0.650","0.0882","12","0.0000","0.0000","-38.2546","-110.6416","0.0000","32.9766","14.2000","0.1628","10000.0000","45.39078908","-75.69572976","35.6","12.3","873.5","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.1","-0.5","51.33","180.00","0","6553.5","73.9","0","0","0","0","26.0","73.9","31.2","30.0","0.10","-0.1","0.0","3.353","1.036","0.00","12.0","2.55","0"
"0.700","0.1019","12","0.0000","0.0000","-25.1557","-55.1121","0.0000","32.9837","14.2000","0.1678","10000.0000","45.39078914","-75.69572976","35.6","12.3","873.5","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.1","-0.5","51.25","162.47","0","6553.5","73.9","0","0","0","0","26.0","73.9","31.2","30.0","0.10","-0.1","0.0","3.347","1.036","0.00","12.0","2.55","0"
"0.750","0.1155","12","0.0000","0.0000","-18.7864","20.4041","0.0000","32.9852","14.2000","0.1756","10000.0000","45.39078911","-75.69572973","35.6","12.2","873.5","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.1","-0.5","51.17","132.25","0","6553.5","73.9","0","0","0","0","26.0","73.9","31.2","30.0","0.09","-0.1","0.0","3.340","1.036","0.00","12.0","2.55","0"
"0.800","0.1288","12","0.0000","0.0000","-17.7046","111.6243","0.0000","32.9824","14.2000","0.1856","10000.0000","45.39078901","-75.69572969","35.6","12.1","873.9","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.1","-0.5","51.09","166.80","0","6553.5","73.9","0","0","0","0","26.0","73.9","31.2","30.0","0.09","-0.1","0.0","3.346","1.036","0.00","12.0","2.55","0"
"0.850","0.1272","12","0.0000","0.0000","-15.2024","86.9488","0.0000","32.9806","14.2000","0.1760","10000.0000","45.39078897","-75.69572970","35.6","12.1","873.5","79","1","79","1","0","-0.02","0.02","-1.00","-0.3","0.1","-0.5","51.01","180.00","0","6553.5","73.9","0","0","0","0","26.0","73.9","31.2","30.0","0.09","-0.1","0.0","3.352","1.036","0.00","12.0","2.55","0"
"0.900","0.1139","12","0.0000","0.0000","-11.5840","-28.7876","0.0000","32.9798","14.2000","0.1510","10000.0000","45.39078898","-75.69572976","35.6","12.0","874.0","79","1","79","1","0","-0.02","0.02","-1.00","-0.3","0.1","-0.5","50.93","157.20","0","6553.5","73.8","0","0","0","0","26.0","73.8","31.2","30.0","0.08","-0.1","0.0","3.356","1.036","0.00","12.0","2.55","0"
"0.950","0.1320","13","0.0000","0.0000","-8.6663","-33.6910","0.0000","32.9819","14.2000","0.1428","10000.0000","45.39078899","-75.69572976","35.6","12.0","873.7","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.1","-0.5","50.85","178.02","0","6553.5","73.7","0","0","0","0","26.0","73.7","31.2","30.0","0.08","-0.1","0.0","3.353","1.037","0.00","12.0","2.55","0"
"1.000","0.1750","13","0.0000","0.0000","-6.2990","48.4886","0.0000","32.9863","14.2000","0.1478","10000.0000","45.39078902","-75.69572969","35.6","11.9","873.9","79","1","79","1","0","-0.02","0.01","-0.99","-0.3","0.1","-0.5","50.77","214.90","0","6553.5","73.7","0","0","0","0","26.0","73.7","31.2","30.0","0.07","-0.1","0.0","3.342","1.037","0.00","12.0","2.55","0"
"1.050","0.1597","13","0.0000","0.0000","-15.7924","66.4638","0.0000","32.9862","14.2000","0.1528","10000.0000","45.39078901","-75.69572967","35.6","11.8","873.7","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.2","-0.5","50.69","188.10","0","6553.5","73.7","0","0","0","0","26.0","73.7","31.2","30.0","0.07","-0.1","0.0","3.345","1.036","0.00","12.0","2.55","0"
"1.100","0.0988","13","0.0000","0.0000","-34.6049","33.9926","0.0000","32.9827","14.2000","0.1578","10000.0000","45.39078898","-75.69572967","35.6","11.8","873.6","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.2","-0.5","50.61","142.86","0","6553.5","73.7","0","0","0","0","26.0","73.7","31.2","30.0","0.07","-0.1","0.0","3.356","1.037","0.00","12.0","2.55","0"
"1.150","0.0744","13","0.0000","0.0000","-36.3118","-34.3283","0.0000","32.9810","14.2000","0.1656","10000.0000","45.39078893","-75.69572968","35.6","11.7","873.5","79","1","79","1","0","-0.02","0.02","-0.99","-0.3","0.2","-0.5","50.53","131.92","0","6553.5","73.6","0","0","0","0","26.0","73.6","31.2","30.0","0.06","-0.1","0.0","3.355","1.037","0.00","12.0","2.55","0"
"1.200","0.0786","13","0.0000","0.0000","-24.5788","-130.8170","0.0000","32.9809","14.2000","0.1756","10000.0000","45.39078887","-75.69572969","35.6","11.7","873.6","79","1","79","1","0","-0.02","0.01","-0.99","-0.4","0.2","-0.5","50.45","110.06","0","6553.5","73.6","0","0","0","0","26.4","73.6","31.2","30.0","0.06","-0.1","0.0","3.344","1.037","0.00","12.0","2.55","0"
"1.250","0.0805","13","0.0000","0.0000","-19.4162","-173.2720","0.0000","32.9808","14.2000","0.1800","10000.0000","45.39078884","-75.69572970","35.6","11.6","873.8","79","1","79","1","0","-0.02","0.02","-1.00","-0.4","0.1","-0.5","50.37","113.50","84","6553.5","73.6","0","0","0","0","26.9","73.6","31.2","30.0","0.06","-0.1","0.0","3.230","1.036","0.00","12.0","2.55","0"
