"Format","AiM CSV File"
"Session","45.504°N, 75.544°W"
"Vehicle","GGR26"
"Racer","Faran"
"Championship","My Balls"
"Comment","Faran with aero warmups"
"Date","Friday, May 8, 2026"
"Time","3:59 PM"
"Sample Rate","20"
"Duration","166.995"
"Segment","Session"
"Beacon Markers","49.732","76.12","102.344","128.428","154.683","166.995"
"Segment Times","0:49.732","0:26.388","0:26.224","0:26.084","0:26.255","0:12.312"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","External Voltage","Steering Angle","RR Shock Pos","FR Shock Pos","FL Shock Pos","RL Shock Pos","Gear Position","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Luminosity","Brake Bias","ECU RPM","EX TEMP 2","EX TEMP 1","ECU WH SP FL","ECU WH SP RL","ECU WH SP RR","ECU WH SP FR","ECU ECT","ECU EXH T","ECU IAT","ECU FUEL T","ECU OIL P","BRK PRESS F","BRK PRESS R","ECU FUEL P","ECU MAP","ECU THROTTLE","ECU V BATT","EXHAUST LAMBDA","LAUNCH STATE","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","C","V","deg","mm","mm","mm","mm","gear","g","g","g","deg/s","deg/s","deg/s","%","%","rpm","C","C","km/h","km/h","km/h","km/h","C","C","C","C","bar","bar","bar","bar","bar","%","V","lambda","#","m"

"0.000","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0124","-0.0193","-1.0078","-0.5210","0.2502","0.0915","100.0000","133.3333","509.0000","6553.5000","25.7000","0.0000","0.0000","0.0000","0.0000","40.0000","25.7000","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.9000","2.5500","0.0000","0.0000"
"0.050","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0124","-0.0193","-1.0078","-0.5750","0.2880","0.0313","100.0000","133.3333","509.0000","6553.5000","25.7000","0.0000","0.0000","0.0000","0.0000","40.0000","25.7000","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.9000","2.5500","0.0000","0.0000"
"0.100","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0124","-0.0193","-1.0078","-0.6025","0.3018","-0.0072","100.0000","133.3333","509.0000","6553.5000","25.7000","0.0000","0.0000","0.0000","0.0000","40.0000","25.7000","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.9000","2.5500","0.0000","0.0000"
"0.150","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0124","-0.0193","-1.0078","-0.6052","0.2935","-0.0075","100.0000","133.3333","509.0000","6553.5000","25.7000","0.0000","0.0000","0.0000","0.0000","40.0000","25.7000","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.9000","2.5500","0.0000","0.0000"
"0.200","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0131","-0.0183","-1.0095","-0.5889","0.2842","0.0199","100.0000","133.3333","509.0000","6553.5000","25.7000","0.0000","0.0000","0.0000","0.0000","40.0000","25.7000","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.9000","2.5500","0.0000","0.0000"
"0.250","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0042","-0.0165","-1.0039","-0.5676","0.2692","0.0542","100.0000","133.3333","509.0000","6553.5000","25.7000","0.0000","0.0000","0.0000","0.0000","40.0000","25.7000","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.9000","2.5500","0.0000","0.0000"
"0.300","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2119.9999","0.7200","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7578","32.5000","40.4688","1.0000","-0.0051","-0.0138","-1.0085","-0.5508","0.2522","0.0760","100.0000","133.3333","509.0000","6553.5000","25.7000","0.0000","0.0000","0.0000","0.0000","40.0000","25.7000","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.9000","2.5500","0.0000","0.0000"
"0.350","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2117.3000","0.7103","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7543","32.5000","40.4547","1.0000","-0.0090","-0.0184","-1.0062","-0.5356","0.2476","0.0732","100.0000","133.3333","509.0000","6553.5000","25.7000","0.0000","0.0000","0.0000","0.0000","40.0000","25.7000","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.9000","2.5500","0.0000","0.0000"
"0.400","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2112.2999","0.6923","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5000","40.8750","14.7340","32.4703","40.4672","1.0000","-0.0039","-0.0155","-1.0116","-0.5254","0.2566","0.0563","100.0000","133.3333","509.0000","6553.5000","25.7940","0.0000","0.0000","0.0000","0.0000","40.0000","25.7960","15.8000","43.0000","65.5350","0.0400","-0.0100","2.6640","0.9890","0.0000","10.8520","2.5500","0.0000","0.0000"
"0.450","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2109.9999","0.6937","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.2250","40.8891","14.7387","32.5000","40.4375","1.0000","0.0011","-0.0134","-1.0091","-0.5398","0.2521","0.0475","100.0000","133.3333","540.2667","6553.5000","25.8940","0.0000","0.0000","0.0000","0.0000","40.0000","25.8960","15.8000","43.0000","65.5350","0.0400","-0.0100","2.7365","0.9960","0.0000","10.8020","2.5500","0.0000","0.0000"
"0.500","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2109.9999","0.7117","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.0250","40.8766","14.7352","32.5000","40.4375","1.0000","-0.0077","-0.0151","-1.0099","-0.5884","0.2278","0.0418","100.0000","133.3333","570.6667","6553.5000","25.9470","0.0000","0.0000","0.0000","0.0000","40.0000","25.9480","15.8000","43.0000","65.5350","0.0400","-0.0100","2.8499","1.0040","0.0000","10.7520","2.5500","0.0000","0.0000"
"0.550","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2109.9999","0.7103","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.2250","40.8750","14.7395","32.5000","40.4375","1.0000","-0.0202","-0.0218","-1.0006","-0.6304","0.2130","0.0294","100.0000","133.3333","437.3333","6553.5000","25.9970","0.0000","0.0000","0.0000","0.0000","40.0000","25.9980","15.8000","43.0000","65.5350","0.0400","-0.0146","2.8671","1.0052","0.0000","10.7020","2.5500","0.0000","0.0000"
"0.600","0.0000","10","0.0000","0.0000","0.0000","0.0000","0.0000","5.6178","2109.9999","0.6923","10000.0000","45.50449444","-75.54466473","17.7969","11.2960","856.5250","40.9047","14.7418","32.5016","40.4672","1.0000","-0.0152","-0.0229","-0.9935","-0.6289","0.1954","0.0213","100.0000","133.3333","325.6000","6553.5000","26.0000","0.0000","0.0000","0.0000","0.0000","40.0000","26.0000","15.8000","43.0000","65.5350","0.0400","-0.0200","2.8652","1.0064","0.0000","10.7480","2.5500","0.0000","0.0000"
"0.650","0.0476","10","0.0000","0.0000","3.6524","-4.7425","0.0000","5.6183","2228.8001","0.6840","10000.0000","45.50449447","-75.54466483","17.7969","11.2960","856.5000","40.8891","14.7195","32.5000","40.4516","1.0000","-0.0111","-0.0198","-0.9925","-0.5874","0.1650","0.0351","100.0000","163.7131","282.2667","6553.5000","26.0000","0.0000","0.0000","0.0000","0.0000","40.0000","26.0000","15.8000","43.0000","65.5350","0.0400","-0.0200","2.8458","1.0081","0.0000","10.7980","2.5500","0.0000","0.0004"
"0.700","0.1358","10","0.0000","0.0000","10.4160","-13.5249","0.0000","5.6193","2448.8001","0.6840","10000.0000","45.50449452","-75.54466501","17.7969","11.2960","856.5000","40.8766","14.7270","32.5000","40.4375","1.0000","-0.0178","-0.0143","-0.9954","-0.5332","0.1616","0.0657","100.0000","200.0000","256.5333","6553.5000","25.9060","0.0000","0.0000","0.0000","0.0000","40.0000","25.9040","15.8000","43.0000","65.5350","0.0400","-0.0188","2.8286","1.0095","0.0000","10.8480","2.5500","0.0000","0.0017"
"0.750","0.1287","10","0.0000","0.0000","9.8750","-12.8223","0.0000","5.6188","2544.6000","0.6743","10000.0000","45.50449456","-75.54466516","17.7969","11.2960","856.5000","40.8750","14.7437","32.5141","40.4547","1.0000","-0.0206","-0.0175","-0.9982","-0.4960","0.2089","0.1032","100.0000","200.0000","253.2000","6553.5000","25.8060","0.0000","0.0000","0.0000","0.0000","40.0000","25.8040","15.8000","43.0000","65.5350","0.0400","-0.0132","2.8186","1.0106","0.0000","10.8980","2.5500","0.0000","0.0037"
"0.800","0.0406","10","0.0000","0.0000","3.1113","-4.0399","0.0000","5.6170","2534.6000","0.6563","10000.0000","45.50449457","-75.54466529","17.7969","11.2960","856.5000","40.8750","14.7188","32.5000","40.4391","1.0000","-0.0154","-0.0250","-0.9989","-0.4736","0.2683","0.1296","100.0000","200.0000","250.9333","6553.5000","25.8000","0.0000","0.0000","0.0000","0.0000","40.0000","25.8000","15.8000","43.0000","65.5350","0.0400","-0.0123","2.8091","1.0110","0.0000","10.9000","2.5500","0.0000","0.0049"
